Property Id,Property Name,Postcode,NTA,Borough,Average Summer Gas Usage (kBtu),Average Summer Electricity Usage (kBtu)
7365,1155,10036,Midtown-Midtown South,MANHATTAN,74789.6,2098590.3
8139,200,10017,Turtle Bay-East Midtown,MANHATTAN,74789.6,1651918.7
8604,114,10036,Midtown-Midtown South,MANHATTAN,72522.2,2516933.767
8841,733,10017,Turtle Bay-East Midtown,MANHATTAN,74789.6,1495031.633
11809,Conde Nast Building,10036,Midtown-Midtown South,MANHATTAN,420374,9892623.567
28402,NYP Cornell (East Campus),10021,Lenox Hill-Roosevelt Island,MANHATTAN,142281083.3,9684589.733
28404,The Allen Hospital,10034,park-cemetery-etc-Manhattan,MANHATTAN,2229866.7,3627708.933
1045358,320 Park Avenue,10022,Midtown-Midtown South,MANHATTAN,74789.6,4541030.567
1052478,140 Broadway,10005,Battery Park City-Lower Manhattan,MANHATTAN,50375,6850193.3
1069082,51 Madison,10010,Hudson Yards-Chelsea-Flatiron-Union Square,MANHATTAN,74789.6,6199643.033
1143922,NE - 111 WALL STREET,10005,Battery Park City-Lower Manhattan,MANHATTAN,74789.6,3861722.567
1143934,NE - 388 GREENWICH STREET,10013,SoHo-TriBeCa-Civic Center-Little Italy,MANHATTAN,1477738.933,8404441.7
1151970,1133,10036,Midtown-Midtown South,MANHATTAN,74789.6,4975748.367
1160595,"STATEN ISLAND, NY-2463",10314,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,STATEN IS,13037,725307.8667
1160893,"BRONX, NY-2718",10475,Co-op City,BRONX,19316.66667,1016775.933
1160897,"ELMHURST, NY-2814",11373,Elmhurst,QUEENS,25225,1068759.7
1172592,780 Third Avenue,10017,Turtle Bay-East Midtown,MANHATTAN,134004.7,2407633.067
1192662,CBRE-1166 Avenue of the Americas,10036,Midtown-Midtown South,MANHATTAN,74789.6,6762849.467
1200524,730 Third Ave,10017,Turtle Bay-East Midtown,MANHATTAN,74789.6,3417940.4
1203624,CW/METLIFE 27-01 QPN,11101,Queensbridge-Ravenswood-Long Island City,QUEENS,119389.6,3420245.767
1231058,520 Madison,10022,Midtown-Midtown South,MANHATTAN,293868.7667,6304646.367
1261446,One Liberty Plaza,10006,Battery Park City-Lower Manhattan,MANHATTAN,149498.8,9417611
